strain,stress_MPa
0.0071672718,499.2995770471338
0.0071775108,499.5587245936312
0.0071775108,499.8414281374099
0.0072082276,500.02993137436647
0.0072082276,500.33619880952733
0.0071979887,500.52470204648387
0.0072287056,500.83096948164473
0.0072287056,500.9958772508153
0.0072491835,501.32570857735834
0.0072389445,501.58488770025957
0.0072594224,501.86759124403824
0.0072799004,502.0325069073097
0.0072901393,502.2916544538071
0.0072799004,502.5036821116411
0.0072901393,502.78642512592455
0.0073106172,502.9984527837585
0.0073003783,503.2340759093786
0.0073310952,503.4696595644938
0.0073413341,503.72881500509214
0.0073310952,503.98796255158953
0.0073515731,504.15290189716393
0.007372051,504.4591693323248
0.007372051,504.6476409928775
0.0073618121,504.90678853937493
0.00738229,505.1188556677137
0.00738229,505.3308833255477
0.0074027679,505.5429109833817
0.0074130069,505.82565399766514
0.0074130069,505.99056176683564
0.0074232458,506.2497093133331
0.0074437237,506.46174486526803
0.0074539627,506.7444799854505
0.0074437237,506.93295164600323
0.0074642017,507.16854319521946
0.0074949185,507.3334588584909
0.0074949185,507.61616240226954
0.0074744406,507.75751417415887
0.0075051575,508.01669329706016
0.0074949185,508.18160896033163
0.0075153965,508.41723208595175
0.0075256354,508.62925974378567
0.0075358744,508.8884072902831
0.0075358744,509.10044284221806
0.0075563523,509.3360580737371
0.0075461133,509.5009421606047
0.0075870692,509.760121283506
0.0075768302,509.9250369467775
0.0075870692,510.18421606967877
0.0075870692,510.3726877302315
0.0075973081,510.56115939078427
0.0076075471,510.79674304589946
0.0076075471,510.96169028557483
0.007638264,511.19725025838716
0.007638264,511.40930949262497
0.007638264,511.5742251558965
0.0076485029,511.8098088110117
0.0076587419,512.0218443629467
0.0076792198,512.186783708521
0.0076587419,512.4223752577373
0.0076792198,512.5872909210088
0.0076792198,512.8228745761239
0.0076996977,512.9878218157994
0.0077099367,513.2234133650154
0.0077099367,513.3412091396235
0.0077304146,513.6239126834023
0.0077304146,513.718152460729
0.0077508925,513.9537676922481
0.0077611315,514.1893276650604
0.0077611315,514.4013868992982
0.0077713705,514.4956266766251
0.0077816094,514.7547742231226
0.0077816094,514.8726015741345
0.0077918484,515.1081852292498
0.0078020873,515.2259810038578
0.0078123263,515.4615725530739
0.0078020873,515.6500757900305
0.0078225657,515.8385474505833
0.0078430437,515.9563432251914
0.0078328047,516.1919347744076
0.0078430437,516.3568425435781
0.0078532826,516.5688780955131
0.0078737605,516.7338174410875
0.0078737605,516.8751692129767
0.0078737605,517.0636408735295
0.0079044774,517.2992324227457
0.0078839995,517.4877040832985
0.0079044774,517.6055314343104
0.0079249553,517.8411229835265
0.0079249553,517.9353548667524
0.0079147164,518.1945024132499
0.0079454333,518.3358620792401
0.0079556722,518.5008014248144
0.0079454333,518.6421531967039
0.0079863891,518.8777447459199
0.0079761501,518.995540520528
0.0079659112,519.207599754766
0.0079863891,519.325395529374
0.0079761501,519.5138356135228
0.0079966281,519.6081069672537
0.008006867,519.8908105110322
0.008017106,519.9614863969769
0.0080273449,520.197109522597
0.0080375839,520.3384612944863
0.0080478229,520.526932955039
0.0080580618,520.6682847269283
